ID,Tempo,Genre,Dancability,Energy,Valance,Acousticness,Instrumentalness,Liveness,Speechiness,HR perc,HR
"Sincerely, Me",107,Broadway,0.677,0.731,0.603,0.168,0,0.103,0.12,70,139
Stacy's Mom,133,Swing,0.671,0.783,0.828,0.47,0.269,0.145,0,60,119
You're Welcome,135,Musical,0.782,0.751,0.688,0.278,0,0.0367,0.28,60,119
Hard To Be The Bard,110,Broadway,0.763,0.714,0.697,0.464,0,0.293,0.334,60,119
Cuphead Rap,115,Anitviral,0.903,0.725,0.485,0.25,0,0.165,0.145,70,139
Grace Kelly,122,Dance pop,0.678,0.847,0.601,0,0,0.373,0.0519,70,139
The Things We Used to Share,142,Otacore,0.617,0.39,0.381,0.951,0,0.128,0.062,50,99
Michael In The Bathroom,119,Broadway,0.574,0.372,0.425,0.82,0,0.115,0.0616,50,99
I'm Gonna Be (500 Miles),132,Rock,0.851,0.551,0.807,0.151,0,0.0827,0.0396,80,158
Monster,93,Broadway,0.426,0.427,0.22,0.0985,0,0.115,0.034,60,119
Morning Person,139,Broadway,0.588,0.315,0.419,0.75,0,0.0639,0.0545,60,119
What Is This Feeling?,152,Broadway,0.622,0.427,0.568,0.735,0,0.232,0.0778,60,119
Sweet Child O' Mine,102,Swing,0.549,0.353,0.819,0.594,0,0.187,0.187,60,119
You'll Be Back,122,Musical,0,0.467,0.434,0.391,0,0.132,0.0581,50,99
A Little Less Conversation,114,Rock-and-roll,0.584,0.802,0.835,0.149,0,0.0683,0.0784,80,158
Highland Cathedral,66,Bagpipe,0.364,0.942,0.346,0,0.804,0.484,0.163,90,178
Want You Gone,100,Anitviral,0.617,0.507,0.879,0.0431,0,0.106,0.0551,70,139
Lolipop,100,Pop,0.689,0.555,0.263,0.151,0.00169,0.0844,0.0598,60,119
My Eyes,100,Musical,0.435,0.309,0.0831,0.852,0.0000263,0.113,0.0309,60,119
Waving Though A window,146,Hollywood,0.549,0.705,0.52,0.316,0,0.12,0.0564,70,139
The Pitifull Children,100,Musical,0.678,0.567,0.357,0.458,0.000000367,0.087,0.0356,80,158
Blue Eyes,100,Pop,0.635,0.398,0.398,0.282,0.00000271,0.086,0.0262,70,139
Galavant,135,Musical,0.343,0.825,0.404,0.63,0,0.102,0.0733,60,119
Sad,97,Antiviral,0.393,0.639,0.356,0.711,0,0.845,0,50,99
I Know Him,122,Musical,0.7,0.153,0.27,0.359,0.9,0.26,0.0695,50,99
I Am the Very Model Of A Modern¡­,105,Classical,0.56,0.717,0.643,0.69,0,0.74,0.466,60,119
Tumbling Down Tumblr,132,Musical,0.69,0.596,0.89,0.692,0,0.325,0.0605,70,139
Let's Face It I'm Cute,108,Electro swing,0.845,0.817,0.971,0,0,0.481,0,80,158
Test Drive,111,Britisch soundtrack,0.259,0.583,0.24,0,0.978,0.328,0.0418,90,178
Oops! I Did It Again - Karaoke,110,Swing,0.58,0.501,0.541,0.589,0.485,0.164,0.0425,60,119
Accidenitally In Love,138,Pop rock,0.553,0.931,0.815,0.0452,0,0.0871,0.0378,70,139
Omigod You Guys,160,Broadway,0.57,0.481,0.622,0.497,0,0.425,0.645,70,139
Lord Of The Dance,124,Celtic,0.301,0.534,0.294,0.371,0.569,0.0689,0.0423,80,158
Four Chords,120,Comic,0.479,0.433,0.317,0.8,0,0.14,0.0333,50,99
If I Had A Million Dollars,92,A cappella,0.62,0.588,0.822,0.515,0,0.162,0.0376,60,119
What Comes Next?,115,Musical,0.515,0.302,0.276,0.603,0,0.199,0.0802,50,99
Love Today,124,Dance pop,0.671,0.908,0.631,0,0,0.12,0.0605,70,139
The Internet Is for Porn,94,Musical,0.506,0.31,0.714,0.809,0.0000151,0.153,0.689,50,99
Someone In the Crowd,128,Hollywood,0.616,0.538,0.278,0.0906,0,0.192,0.17,70,139
